x,y,z,red,green,blue
134937.197,521775.313,-37.377,,,
134937.169,521775.411,-37.345,,,
134937.162,521775.371,-37.348,,,
134937.171,521775.278,-37.39,,,
134937.217,521775.279,-37.406,,,
134937.221,521775.405,-37.342,,,
134937.173,521775.341,-37.358,,,
134937.2,521775.301,-37.387,,,
134937.185,521775.387,-37.346000000000004,,,
134937.168,521775.29,-37.38,,,
134937.506,521769.113,-37.398,,,
134937.53,521769.085,-37.407,,,
134937.456,521769.198,-37.413,,,
134937.383,521769.117,-37.414,,,
134937.534,521769.06,-37.418,,,
134938.068,521768.819,-37.456,,,
134937.28,521769.534,-37.492,,,
134937.252,521769.467,-37.507,,,
134937.553,521768.501,-37.455,,,
134937.256,521769.518,-37.485,,,
134938.092,521768.791,-37.466,,,
134937.366,521769.063,-37.428,,,
134937.461,521767.885,-37.438,,,
134937.361,521768.338,-37.441,,,
134937.469,521769.259,-37.426,,,
134937.344,521769.184,-37.439,,,
134937.37,521768.515,-37.456,,,
134937.389,521769.034,-37.428,,,
134937.264,521769.513,-37.494,,,
134937.432,521769.24,-37.421,,,
134937.315,521769.161,-37.442,,,
134937.594,521768.36,-37.48,,,
134937.233,521769.502,-37.488,,,
134937.533,521769.209,-37.417,,,
134937.399,521769.092,-37.406,,,
134937.459,521769.126,-37.4,,,
134937.503,521767.956,-37.44,,,
134937.524,521768.478,-37.449,,,
134937.527,521769.022,-37.439,,,
134938.137,521768.866,-37.431,,,
134937.524,521769.168,-37.402,,,
134937.156,521769.611,-37.431,,,
134937.38,521769.247,-37.442,,,
134937.36,521768.382,-37.429,,,
134937.493,521768.466,-37.442,,,
134938.102,521768.849,-37.443,,,
134937.553,521769.101,-37.405,,,
134937.359,521769.219,-37.445,,,
134937.526,521767.926,-37.432,,,
134937.421,521768.372,-37.435,,,
134938.156,521768.831,-37.441,,,
134937.403,521769.217,-37.424,,,
134937.549,521769.185,-37.408,,,
134937.49,521767.909,-37.435,,,
134937.384,521768.353,-37.429,,,
134937.493,521769.275,-37.433,,,
134938.125,521768.82,-37.444,,,
134937.367,521769.199,-37.428,,,
134937.422,521769.108,-37.403,,,
134937.218,521767.999,-37.527,,,
134938.05,521768.856,-37.464,,,
134937.531,521768.531,-37.463,,,
134938.221,521768.797,-37.476,,,
134937.482,521769.097,-37.4,,,
134937.469,521767.866,-37.43,,,
134937.298,521768.42,-37.448,,,
134937.417,521768.501,-37.445,,,
134937.361,521769.147,-37.431,,,
134937.448,521767.838,-37.442,,,
134937.468,521768.359,-37.442,,,
134937.388,521768.478,-37.448,,,
134938.196,521768.824,-37.448,,,
134937.332,521769.124,-37.435,,,
134937.314,521768.396,-37.44,,,
134937.44,521768.472,-37.436,,,
134937.411,521768.448,-37.439,,,
134937.549,521769.05,-37.427,,,
134938.175,521768.796,-37.47,,,
134937.453,521769.074,-37.403999999999996,,,
134937.567,521769.148,-37.41,,,
134937.163,521769.529,-37.463,,,
