x,y,z
134937.17,521775.28,-37.38
134937.17,521775.4,-37.345
134937.17,521775.34,-37.358
134937.5,521769.12,-37.398
134937.53,521769.1,-37.407
134937.45,521769.2,-37.413
134937.42,521769.1,-37.403
134938.06,521768.8,-37.456
134937.27,521769.5,-37.494
134937.25,521769.47,-37.507
134937.53,521768.53,-37.463
134938.1,521768.78,-37.466
134937.36,521769.06,-37.428
134937.47,521767.88,-37.43
134937.36,521768.34,-37.441
134937.47,521769.25,-37.426
134937.36,521769.22,-37.445
134937.38,521768.5,-37.456
134937.39,521769.03,-37.428
134937.42,521769.2,-37.407
134937.33,521769.12,-37.435
134937.6,521768.38,-37.48
134937.55,521769.2,-37.408
134937.45,521769.06,-37.404
134937.5,521767.97,-37.44
134937.5,521768.47,-37.442
134937.53,521769.03,-37.439
134938.17,521768.78,-37.47
134937.2,521769.6,-37.438
134937.38,521769.25,-37.442
134937.31,521768.4,-37.44
134937.55,521769.12,-37.403
134937.42,521768.38,-37.435
134937.5,521769.28,-37.433
134937.22,521768.0,-37.527
134938.05,521768.84,-37.464
134938.25,521768.8,-37.482
134937.3,521768.4,-37.448
134937.42,521768.5,-37.445
134937.45,521767.84,-37.442
134937.47,521768.34,-37.442
134937.39,521768.47,-37.448
134937.55,521769.06,-37.427
134937.2,521769.53,-37.469
134937.5,521768.5,-37.457
134937.36,521769.28,-37.459
134937.5,521769.06,-37.411
134937.19,521767.62,-37.472
134937.52,521767.88,-37.408
134937.4,521768.3,-37.439
134937.33,521768.44,-37.445
134938.06,521768.9,-37.441
134937.2,521765.6,-37.499
134938.17,521765.3,-37.461
134937.36,521766.34,-37.468
134937.8,521764.88,-37.495
134937.86,521765.84,-37.445
134937.77,521765.9,-37.465
134937.53,521766.28,-37.453
134937.48,521766.47,-37.442
134937.33,521766.12,-37.439
134937.98,521765.88,-37.425
134937.3,521766.44,-37.502
134938.53,521765.62,-37.418
134938.11,521765.22,-37.454
134937.92,521765.78,-37.444
134937.92,521765.97,-37.44
134937.2,521766.06,-37.442
134937.48,521766.34,-37.433
134938.02,521765.84,-37.425
134938.48,521765.62,-37.421
134937.5,521766.25,-37.465
134937.55,521766.25,-37.472
134937.17,521766.22,-37.441
134937.84,521765.78,-37.449
134937.97,521765.84,-37.419
134937.84,521765.97,-37.454
134937.92,521765.84,-37.432
134937.42,521766.38,-37.452
134937.66,521766.34,-37.44
134937.3,521766.1,-37.443
134937.86,521765.88,-37.442
134937.64,521766.3,-37.444
134938.0,521766.0,-37.443
134938.42,521765.6,-37.436
134938.12,521765.2,-37.464
134938.03,521765.25,-37.455
134937.77,521765.97,-37.46
134938.4,521765.53,-37.431
134937.92,521765.9,-37.426
134938.03,521765.8,-37.436
134937.28,521766.2,-37.438
134937.58,521766.34,-37.428
134938.0,521765.9,-37.43
134937.44,521766.44,-37.457
134938.58,521765.4,-37.457
134937.8,521765.84,-37.448
134938.02,521765.78,-37.44
134938.1,521765.28,-37.449
134938.84,521764.56,-37.526
134939.5,521763.94,-37.501
134939.83,521764.16,-37.485
134940.33,521764.1,-37.404
134938.56,521764.28,-37.49
134939.44,521764.72,-37.461
134939.36,521764.84,-37.485
134939.45,521764.9,-37.466
134940.47,521764.22,-37.488
134939.36,521763.97,-37.482
134939.08,521764.47,-37.464
134939.47,521764.06,-37.468
134939.7,521764.22,-37.461
134939.39,521764.72,-37.464
134939.34,521764.78,-37.48
134940.44,521764.16,-37.457
134938.64,521765.38,-37.482
134939.83,521764.1,-37.507
134939.62,521763.6,-37.481
134939.31,521764.1,-37.475
134939.98,521763.84,-37.47
